Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,0,0,0,0,11.0,-1,c,o,r,0.8846179000101984,True,False,stimulusMaks_2IFC_2020_Mar_05_1640_1,stimulusMaks_2IFC_2020_Mar_05_1640_2,False,1,Maks,2020_Mar_05_1640,2IFC,
2IFC,1,0,1,0,11.0,-1,c,o,r,0.7689161999733187,True,False,stimulusMaks_2IFC_2020_Mar_05_1640_3,stimulusMaks_2IFC_2020_Mar_05_1640_4,False,1,Maks,2020_Mar_05_1640,2IFC,
2IFC,2,0,2,0,11.0,-1,w,r,o,0.7510726000182331,False,True,stimulusMaks_2IFC_2020_Mar_05_1640_5,stimulusMaks_2IFC_2020_Mar_05_1640_6,False,1,Maks,2020_Mar_05_1640,2IFC,
2IFC,3,0,3,0,11.0,-1,w,r,o,0.6341971000074409,False,True,stimulusMaks_2IFC_2020_Mar_05_1640_7,stimulusMaks_2IFC_2020_Mar_05_1640_8,False,1,Maks,2020_Mar_05_1640,2IFC,
2IFC,4,0,4,0,11.0,-1,w,r,o,0.6341402000107337,False,True,stimulusMaks_2IFC_2020_Mar_05_1640_9,stimulusMaks_2IFC_2020_Mar_05_1640_10,False,1,Maks,2020_Mar_05_1640,2IFC,
