Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,6.0,-1,Miss,0.33361670000158483,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_1,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,1,0,1,0,6.0,-1,Miss,0.3164606000063941,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_2,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,2,0,2,0,6.0,-1,False Alarm,0.35028109999984736,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_3,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,3,0,3,0,6.0,-1,Correct Rejection,0.36734530000103405,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_4,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,4,0,4,0,6.0,-1,Hit,0.4020042999982252,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_5,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,5,0,5,0,6.0,-1,Correct Rejection,0.4675875000029919,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_6,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,6,0,6,0,6.0,-1,Correct Rejection,0.4166708999982802,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_7,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,7,0,7,0,6.0,-1,Correct Rejection,0.3673197000025539,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_8,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,8,0,8,0,6.0,-1,Miss,0.38382760000240523,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_9,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,9,0,9,0,6.0,-1,Correct Rejection,0.45068539999920176,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_10,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,10,0,10,0,6.0,-1,Correct Rejection,0.31761610000103246,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_11,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,11,0,11,0,6.0,-1,Miss,0.3169430000052671,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_12,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,12,0,12,0,6.0,-1,Correct Rejection,0.48403379999945173,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_13,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,13,0,13,0,6.0,-1,Hit,0.3172733999963384,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_14,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
Yes-No Task,14,0,14,0,6.0,-1,Correct Rejection,0.3172523999965051,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1930_15,-1,False,9,MaxA,2020_Feb_02_1930,Yes-No Task,
