Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,5.0,-1,Hit,0.5870695000048727,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_1,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,1,0,1,0,5.0,-1,Correct Rejection,0.26714499999798136,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_2,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,2,0,2,0,5.0,-1,Correct Rejection,0.37031840000418015,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_3,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,3,0,3,0,5.0,-1,Correct Rejection,0.36721660000330303,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_4,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,4,0,4,0,5.0,-1,Correct Rejection,0.3834415999954217,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_5,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,5,0,5,0,5.0,-1,Correct Rejection,0.30039369999576593,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_6,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,6,0,6,0,5.0,-1,Correct Rejection,0.40067040000576526,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_7,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,7,0,7,0,5.0,-1,Hit,0.385266600002069,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_8,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,8,0,8,0,5.0,-1,False Alarm,0.3347637999977451,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_9,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,9,0,9,0,5.0,-1,Hit,0.8512350999953924,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_10,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,10,0,10,0,5.0,-1,False Alarm,0.3670218000042951,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_11,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,11,0,11,0,5.0,-1,False Alarm,0.4835239999956684,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_12,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,12,0,12,0,5.0,-1,Hit,0.48428209999838145,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_13,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,13,0,13,0,5.0,-1,Hit,0.5032237999985227,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_14,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,14,0,14,0,5.0,-1,Correct Rejection,0.3676381000041147,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_15,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,15,0,15,0,5.0,-1,Miss,0.383832400002575,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_16,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,16,0,16,0,5.0,-1,False Alarm,0.35084050000295974,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_17,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,17,0,17,0,5.0,-1,False Alarm,0.4826223999989452,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_18,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,18,0,18,0,5.0,-1,Hit,0.5351310999976704,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_19,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,19,0,19,0,5.0,-1,Miss,0.5680051999952411,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_20,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,20,0,20,0,5.0,-1,Hit,0.3671693000069354,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_21,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,21,0,21,0,5.0,-1,Miss,0.6006339000014123,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_22,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,22,0,22,0,5.0,-1,Hit,0.40098560000478756,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_23,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,23,0,23,0,5.0,-1,Hit,0.4010063000023365,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_24,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,24,0,24,0,5.0,-1,Hit,0.4011718000037945,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_25,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,25,0,25,0,5.0,-1,Hit,0.4671396999983699,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_26,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,26,0,26,0,5.0,-1,Correct Rejection,0.4674079999967944,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_27,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,27,0,27,0,5.0,-1,Correct Rejection,0.7007900999960839,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_28,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,28,0,28,0,5.0,-1,Hit,0.41741730000649113,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_29,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,29,0,29,0,5.0,-1,Correct Rejection,0.48377229999459814,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_30,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,30,0,30,0,5.0,-1,Correct Rejection,0.48383849999663653,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_31,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,31,0,31,0,5.0,-1,Correct Rejection,0.48422010000649607,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_32,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,32,0,32,0,5.0,-1,Correct Rejection,0.5008562000002712,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_33,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,33,0,33,0,5.0,-1,Miss,0.36680709999927785,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_34,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,34,0,34,0,5.0,-1,Correct Rejection,0.4675206999963848,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_35,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,35,0,35,0,5.0,-1,Hit,0.4173575000022538,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_36,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,36,0,36,0,5.0,-1,Correct Rejection,0.4499437999984366,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_37,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,37,0,37,0,5.0,-1,Correct Rejection,0.45070790000318084,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_38,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,38,0,38,0,5.0,-1,Hit,0.5166532999937772,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_39,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
Yes-No Task,39,0,39,0,5.0,-1,Correct Rejection,0.4842073999971035,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1931_40,-1,False,10,MaxA,2020_Feb_02_1931,Yes-No Task,
