Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,8.0,-1,Hit,0.350683199998457,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_1,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,1,0,1,0,8.0,-1,Correct Rejection,0.25043079999886686,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_2,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,2,0,2,0,8.0,-1,Correct Rejection,0.4174104999983683,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_3,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,3,0,3,0,8.0,-1,Miss,0.2999904999960563,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_4,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,4,0,4,0,8.0,-1,Hit,0.3507850000023609,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_5,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,5,0,5,0,8.0,-1,False Alarm,0.465994000005594,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_6,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,6,0,6,0,8.0,-1,Hit,0.350252600001113,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_7,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,7,0,7,0,8.0,-1,Correct Rejection,0.4004532000035397,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_8,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,8,0,8,0,8.0,-1,Hit,0.35059219999675406,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_9,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
Yes-No Task,9,0,9,0,8.0,-1,Hit,0.33389769999485,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1922_10,-1,False,7,MaxA,2020_Feb_02_1922,Yes-No Task,
