Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,2.0,-1,Correct Rejection,0.31884179999906337,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_1,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,1,0,1,0,2.0,-1,Correct Rejection,0.3171652000019094,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_2,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,2,0,2,0,2.0,-1,Correct Rejection,0.3169504000034067,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_3,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,3,0,3,0,2.0,-1,Correct Rejection,0.32318490000034217,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_4,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,4,0,4,0,2.0,-1,Miss,0.3673194000002695,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_5,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,5,0,5,0,2.0,-1,Miss,0.35092430000077,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_6,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,6,0,6,0,2.0,-1,False Alarm,0.3337409000014304,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_7,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,7,0,7,0,2.0,-1,Miss,0.30051620000449475,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_8,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,8,0,8,0,2.0,-1,Hit,0.5681975000043167,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_9,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
Yes-No Task,9,0,9,0,2.0,-1,Correct Rejection,0.4672759000022779,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1937_10,-1,False,13,MaxA,2020_Feb_02_1937,Yes-No Task,
