Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,7.0,-1,Correct Rejection,0.31705820000206586,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_1,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,1,0,1,0,7.0,-1,False Alarm,0.20363109999743756,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_2,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,2,0,2,0,7.0,-1,Miss,0.3839236999992863,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_3,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,3,0,3,0,7.0,-1,False Alarm,0.3340712999997777,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_4,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,4,0,4,0,7.0,-1,Correct Rejection,0.567606300006446,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_5,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,5,0,5,0,7.0,-1,Miss,0.2668654000008246,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_6,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,6,0,6,0,7.0,-1,False Alarm,0.3660758000041824,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_7,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,7,0,7,0,7.0,-1,Hit,0.4005743000016082,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_8,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,8,0,8,0,7.0,-1,Hit,0.4671126999965054,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_9,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,9,0,9,0,7.0,-1,Correct Rejection,0.5005025999998907,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_10,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,10,0,10,0,7.0,-1,Correct Rejection,0.35051519999979064,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_11,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,11,0,11,0,7.0,-1,Correct Rejection,0.3665527000048314,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_12,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,12,0,12,0,7.0,-1,Hit,0.3839155000023311,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_13,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,13,0,13,0,7.0,-1,Hit,0.40035220000572735,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_14,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,14,0,14,0,7.0,-1,Hit,0.5173523999983445,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_15,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,15,0,15,0,7.0,-1,Correct Rejection,0.3669956999947317,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_16,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,16,0,16,0,7.0,-1,Correct Rejection,0.41690870000456925,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_17,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,17,0,17,0,7.0,-1,Correct Rejection,0.38406879999820376,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_18,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,18,0,18,0,7.0,-1,Correct Rejection,0.36711409999406897,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_19,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,19,0,19,0,7.0,-1,Correct Rejection,0.3336743999971077,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_20,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,20,0,20,0,7.0,-1,Correct Rejection,0.3351965000038035,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_21,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,21,0,21,0,7.0,-1,Miss,0.3336466000037035,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_22,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,22,0,22,0,7.0,-1,Hit,0.28425509999942733,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_23,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,23,0,23,0,7.0,-1,False Alarm,0.3843507999990834,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_24,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,24,0,24,0,7.0,-1,Hit,0.3676586000001407,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_25,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,25,0,25,0,7.0,-1,Hit,0.6174581000013859,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_26,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,26,0,26,0,7.0,-1,Hit,0.33405019999918295,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_27,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,27,0,27,0,7.0,-1,False Alarm,0.31692179999663495,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_28,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,28,0,28,0,7.0,-1,Correct Rejection,0.5136828000031528,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_29,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,29,0,29,0,7.0,-1,Correct Rejection,0.3840721000015037,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_30,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
