Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,16.0,-1,Hit,1,1,0.4009829999995418,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_1,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,1,0,1,0,16.0,-1,Hit,1,1,0.2688934000034351,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_2,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,2,0,2,0,16.0,-1,Hit,1,1,0.25260849998448975,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_3,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,3,0,3,0,16.0,-1,False Alarm,1,0,0.28467429999727756,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_4,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,4,0,4,0,16.0,-1,False Alarm,1,0,0.2698863999976311,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_5,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,5,0,5,0,16.0,-1,Hit,1,1,0.5010417000157759,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_6,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,6,0,6,0,16.0,-1,Correct Rejection,0,0,0.2514867999998387,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_7,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,7,0,7,0,16.0,-1,Correct Rejection,0,0,0.3164731999859214,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_8,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,8,0,8,0,16.0,-1,Hit,1,1,0.3680531999852974,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_9,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,9,0,9,0,16.0,-1,Hit,1,1,0.3349265999859199,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_10,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
Yes-No Task,10,0,10,0,16.0,-1,Correct Rejection,0,0,0.3179727999959141,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_07_1246_11,-1,False,16,MaxA,2020_Feb_07_1246,Yes-No Task,
