Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,28,0,28,0,9.0,-1,Hit,0.3674944999947911,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_29,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,29,0,29,0,9.0,-1,Correct Rejection,0.4507374000022537,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_30,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,30,0,30,0,9.0,-1,Hit,0.33404090000112774,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_31,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,31,0,31,0,9.0,-1,Hit,0.43434110000089277,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_32,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,32,0,32,0,9.0,-1,Correct Rejection,0.3844480999978259,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_33,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,33,0,33,0,9.0,-1,Hit,0.26726159999816446,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_34,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,34,0,34,0,9.0,-1,Correct Rejection,0.6005182000008062,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_35,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,35,0,35,0,9.0,-1,Hit,0.23474249999708263,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_36,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,36,0,36,0,9.0,-1,Correct Rejection,0.4007058999995934,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_37,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,37,0,37,0,9.0,-1,Hit,0.25030490000062855,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_38,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,38,0,38,0,9.0,-1,Miss,0.33360109999921406,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_39,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
Yes-No Task,39,0,39,0,9.0,-1,False Alarm,0.21668630000203848,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1921_40,-1,False,6,MaxA,2020_Feb_02_1921,Yes-No Task,
