Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,4.0,-1,Miss,0.3843111000023782,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_1,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,1,0,1,0,4.0,-1,Miss,0.3336208000037004,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_2,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,2,0,2,0,4.0,-1,Correct Rejection,0.5007184000060079,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_3,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,3,0,3,0,4.0,-1,Hit,0.3836148000045796,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_4,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,4,0,4,0,4.0,-1,Hit,0.533826400001999,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_5,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,5,0,5,0,4.0,-1,Correct Rejection,0.41709350000019185,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_6,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,6,0,6,0,4.0,-1,Correct Rejection,0.40084960000240244,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_7,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,7,0,7,0,4.0,-1,False Alarm,0.38447659999656025,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_8,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,8,0,8,0,4.0,-1,Correct Rejection,0.5339662999977008,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_9,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,9,0,9,0,4.0,-1,Hit,0.5502613999997266,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_10,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,10,0,10,0,4.0,-1,Correct Rejection,0.5834399000013946,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_11,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,11,0,11,0,4.0,-1,Correct Rejection,0.38326750000123866,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_12,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,12,0,12,0,4.0,-1,Hit,0.7838679000051343,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_13,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,13,0,13,0,4.0,-1,Hit,0.5013547999988077,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_14,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,14,0,14,0,4.0,-1,Correct Rejection,0.3868713999981992,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_15,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,15,0,15,0,4.0,-1,Miss,0.40070889999333303,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_16,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,16,0,16,0,4.0,-1,Correct Rejection,0.5170115000000806,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_17,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,17,0,17,0,4.0,-1,Hit,0.4177765999993426,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_18,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
