Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,18,0,18,0,4.0,-1,Miss,0.40039940000133356,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_19,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,19,0,19,0,4.0,-1,Miss,0.5001170999967144,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_20,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,20,0,20,0,4.0,-1,Correct Rejection,0.5507190999996965,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_21,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,21,0,21,0,4.0,-1,Correct Rejection,0.5338273000015761,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_22,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,22,0,22,0,4.0,-1,Correct Rejection,0.46798049999779323,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_23,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,23,0,23,0,4.0,-1,Hit,0.36722639999788953,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_24,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,24,0,24,0,4.0,-1,Correct Rejection,0.3838409000018146,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_25,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,25,0,25,0,4.0,-1,Correct Rejection,0.38333720000082394,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_26,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,26,0,26,0,4.0,-1,Hit,0.40075159999832977,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_27,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,27,0,27,0,4.0,-1,Correct Rejection,0.40087620000122115,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_28,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,28,0,28,0,4.0,-1,Hit,0.5181298000024981,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_29,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,29,0,29,0,4.0,-1,Correct Rejection,0.3514413999946555,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_30,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,30,0,30,0,4.0,-1,Miss,0.45046600000205217,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_31,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,31,0,31,0,4.0,-1,Hit,0.4336920999994618,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_32,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,32,0,32,0,4.0,-1,Miss,0.38607970000157366,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_33,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,33,0,33,0,4.0,-1,Miss,0.5340585999947507,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_34,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,34,0,34,0,4.0,-1,Hit,0.35083339999982854,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_35,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,35,0,35,0,4.0,-1,Hit,0.38338060000387486,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_36,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,36,0,36,0,4.0,-1,False Alarm,0.6515979999967385,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_37,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,37,0,37,0,4.0,-1,Correct Rejection,0.47062940000614617,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_38,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,38,0,38,0,4.0,-1,Miss,0.48427839999931166,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_39,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
Yes-No Task,39,0,39,0,4.0,-1,Hit,0.38375079999968875,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1933_40,-1,False,11,MaxA,2020_Feb_02_1933,Yes-No Task,
