Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,0,0,0,0,5.0,-1,c,o,r,0.4516905999989831,True,False,stimulusMax2_2IFC_2020_Feb_17_1255_1,stimulusMax2_2IFC_2020_Feb_17_1255_2,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,1,0,1,0,5.0,-1,c,o,r,0.501723100000163,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_3,stimulusMax2_2IFC_2020_Feb_17_1255_4,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,2,0,2,0,5.0,-1,c,o,r,0.45320519999950193,True,False,stimulusMax2_2IFC_2020_Feb_17_1255_5,stimulusMax2_2IFC_2020_Feb_17_1255_6,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,3,0,3,0,5.0,-1,w,r,o,0.48510820000046806,True,False,stimulusMax2_2IFC_2020_Feb_17_1255_7,stimulusMax2_2IFC_2020_Feb_17_1255_8,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,4,0,4,0,5.0,-1,w,r,o,0.21677880000061123,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_9,stimulusMax2_2IFC_2020_Feb_17_1255_10,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,5,0,5,0,5.0,-1,c,o,r,0.3503132999994705,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_11,stimulusMax2_2IFC_2020_Feb_17_1255_12,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,6,0,6,0,5.0,-1,c,o,r,0.41820910000024014,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_13,stimulusMax2_2IFC_2020_Feb_17_1255_14,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,7,0,7,0,5.0,-1,c,o,r,0.850798900000882,True,False,stimulusMax2_2IFC_2020_Feb_17_1255_15,stimulusMax2_2IFC_2020_Feb_17_1255_16,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,8,0,8,0,5.0,-1,w,r,o,0.6013481000009051,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_17,stimulusMax2_2IFC_2020_Feb_17_1255_18,False,7,Max2,2020_Feb_17_1255,2IFC,
2IFC,9,0,9,0,5.0,-1,c,o,r,0.23364460000084364,False,True,stimulusMax2_2IFC_2020_Feb_17_1255_19,stimulusMax2_2IFC_2020_Feb_17_1255_20,False,7,Max2,2020_Feb_17_1255,2IFC,
