Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,25,0,25,0,11.0,-1,c,o,r,0.2330828999993173,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_51,stimulusMax2_2IFC_2020_Feb_17_1220_52,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,26,0,26,0,11.0,-1,c,o,r,0.3826576000001296,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_53,stimulusMax2_2IFC_2020_Feb_17_1220_54,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,27,0,27,0,11.0,-1,c,o,r,0.2311599999993632,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_55,stimulusMax2_2IFC_2020_Feb_17_1220_56,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,28,0,28,0,11.0,-1,c,o,r,0.649840299999596,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_57,stimulusMax2_2IFC_2020_Feb_17_1220_58,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,29,0,29,0,11.0,-1,c,o,r,0.3517954999997528,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_59,stimulusMax2_2IFC_2020_Feb_17_1220_60,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,30,0,30,0,11.0,-1,c,o,r,0.1998980999997002,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_61,stimulusMax2_2IFC_2020_Feb_17_1220_62,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,31,0,31,0,11.0,-1,c,o,r,0.2865078999993784,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_63,stimulusMax2_2IFC_2020_Feb_17_1220_64,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,32,0,32,0,11.0,-1,c,o,r,0.4184130000003279,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_65,stimulusMax2_2IFC_2020_Feb_17_1220_66,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,33,0,33,0,11.0,-1,c,o,r,0.33546779999960563,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_67,stimulusMax2_2IFC_2020_Feb_17_1220_68,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,34,0,34,0,11.0,-1,c,o,r,0.4510436999999001,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_69,stimulusMax2_2IFC_2020_Feb_17_1220_70,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,35,0,35,0,11.0,-1,c,o,r,0.41828239999995276,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_71,stimulusMax2_2IFC_2020_Feb_17_1220_72,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,36,0,36,0,11.0,-1,c,o,r,0.38272409999990487,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_73,stimulusMax2_2IFC_2020_Feb_17_1220_74,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,37,0,37,0,11.0,-1,c,o,r,0.3678735000003144,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_75,stimulusMax2_2IFC_2020_Feb_17_1220_76,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,38,0,38,0,11.0,-1,c,o,r,0.3688752999996723,True,False,stimulusMax2_2IFC_2020_Feb_17_1220_77,stimulusMax2_2IFC_2020_Feb_17_1220_78,False,1,Max2,2020_Feb_17_1220,2IFC,
2IFC,39,0,39,0,11.0,-1,c,o,r,0.3181948999999804,False,True,stimulusMax2_2IFC_2020_Feb_17_1220_79,stimulusMax2_2IFC_2020_Feb_17_1220_80,False,1,Max2,2020_Feb_17_1220,2IFC,
