Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFC,0,0,0,0,3.0,-1,c,o,r,0.43626550000044517,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_1,stimulusMax2_2IFC_2020_Feb_17_1259_2,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,1,0,1,0,3.0,-1,c,o,r,0.1870586999993975,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_3,stimulusMax2_2IFC_2020_Feb_17_1259_4,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,2,0,2,0,3.0,-1,c,o,r,0.46897489999901154,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_5,stimulusMax2_2IFC_2020_Feb_17_1259_6,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,3,0,3,0,3.0,-1,c,o,r,0.4862537999997585,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_7,stimulusMax2_2IFC_2020_Feb_17_1259_8,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,4,0,4,0,3.0,-1,w,r,o,0.31744939999953203,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_9,stimulusMax2_2IFC_2020_Feb_17_1259_10,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,5,0,5,0,3.0,-1,w,r,o,0.39967299999989336,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_11,stimulusMax2_2IFC_2020_Feb_17_1259_12,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,6,0,6,0,3.0,-1,w,r,o,0.23515839999890886,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_13,stimulusMax2_2IFC_2020_Feb_17_1259_14,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,7,0,7,0,3.0,-1,w,r,o,0.4852562999985821,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_15,stimulusMax2_2IFC_2020_Feb_17_1259_16,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,8,0,8,0,3.0,-1,c,o,r,0.5010223000008409,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_17,stimulusMax2_2IFC_2020_Feb_17_1259_18,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,9,0,9,0,3.0,-1,c,o,r,0.33699410000008356,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_19,stimulusMax2_2IFC_2020_Feb_17_1259_20,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,10,0,10,0,3.0,-1,c,o,r,0.45037950000005367,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_21,stimulusMax2_2IFC_2020_Feb_17_1259_22,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,11,0,11,0,3.0,-1,c,o,r,0.3512465000003431,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_23,stimulusMax2_2IFC_2020_Feb_17_1259_24,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,12,0,12,0,3.0,-1,c,o,r,0.41877300000123796,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_25,stimulusMax2_2IFC_2020_Feb_17_1259_26,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,13,0,13,0,3.0,-1,w,r,o,0.2849705999997241,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_27,stimulusMax2_2IFC_2020_Feb_17_1259_28,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,14,0,14,0,3.0,-1,c,o,r,0.30153450000034354,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_29,stimulusMax2_2IFC_2020_Feb_17_1259_30,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,15,0,15,0,3.0,-1,c,o,r,0.5868196999999782,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_31,stimulusMax2_2IFC_2020_Feb_17_1259_32,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,16,0,16,0,3.0,-1,c,o,r,0.517986100001508,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_33,stimulusMax2_2IFC_2020_Feb_17_1259_34,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,17,0,17,0,3.0,-1,c,o,r,0.38123839999934717,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_35,stimulusMax2_2IFC_2020_Feb_17_1259_36,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,18,0,18,0,3.0,-1,c,o,r,0.36832610000055865,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_37,stimulusMax2_2IFC_2020_Feb_17_1259_38,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,19,0,19,0,3.0,-1,c,o,r,0.4990144000003056,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_39,stimulusMax2_2IFC_2020_Feb_17_1259_40,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,20,0,20,0,3.0,-1,c,o,r,0.36632750000171654,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_41,stimulusMax2_2IFC_2020_Feb_17_1259_42,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,21,0,21,0,3.0,-1,c,o,r,0.4858278000010614,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_43,stimulusMax2_2IFC_2020_Feb_17_1259_44,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,22,0,22,0,3.0,-1,w,r,o,0.38521099999888975,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_45,stimulusMax2_2IFC_2020_Feb_17_1259_46,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,23,0,23,0,3.0,-1,w,r,o,0.38319200000114506,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_47,stimulusMax2_2IFC_2020_Feb_17_1259_48,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,24,0,24,0,3.0,-1,w,r,o,0.2179868000002898,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_49,stimulusMax2_2IFC_2020_Feb_17_1259_50,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,25,0,25,0,3.0,-1,w,r,o,0.3878584999984014,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_51,stimulusMax2_2IFC_2020_Feb_17_1259_52,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,26,0,26,0,3.0,-1,w,r,o,0.6351983000004111,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_53,stimulusMax2_2IFC_2020_Feb_17_1259_54,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,27,0,27,0,3.0,-1,c,o,r,0.46766369999932067,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_55,stimulusMax2_2IFC_2020_Feb_17_1259_56,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,28,0,28,0,3.0,-1,w,r,o,0.385573800000202,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_57,stimulusMax2_2IFC_2020_Feb_17_1259_58,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,29,0,29,0,3.0,-1,w,r,o,0.19994719999886001,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_59,stimulusMax2_2IFC_2020_Feb_17_1259_60,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,30,0,30,0,3.0,-1,w,r,o,0.1849529999999504,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_61,stimulusMax2_2IFC_2020_Feb_17_1259_62,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,31,0,31,0,3.0,-1,w,r,o,0.38287639999907697,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_63,stimulusMax2_2IFC_2020_Feb_17_1259_64,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,32,0,32,0,3.0,-1,w,r,o,0.3849675000001298,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_65,stimulusMax2_2IFC_2020_Feb_17_1259_66,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,33,0,33,0,3.0,-1,c,o,r,0.366820799999914,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_67,stimulusMax2_2IFC_2020_Feb_17_1259_68,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,34,0,34,0,3.0,-1,w,r,o,0.6342982000005577,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_69,stimulusMax2_2IFC_2020_Feb_17_1259_70,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,35,0,35,0,3.0,-1,c,o,r,0.03372080000008282,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_71,stimulusMax2_2IFC_2020_Feb_17_1259_72,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,36,0,36,0,3.0,-1,c,o,r,0.6521100000009028,False,True,stimulusMax2_2IFC_2020_Feb_17_1259_73,stimulusMax2_2IFC_2020_Feb_17_1259_74,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,37,0,37,0,3.0,-1,c,o,r,0.4845932999996876,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_75,stimulusMax2_2IFC_2020_Feb_17_1259_76,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,38,0,38,0,3.0,-1,w,r,o,0.3857455999986996,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_77,stimulusMax2_2IFC_2020_Feb_17_1259_78,False,9,Max2,2020_Feb_17_1259,2IFC,
2IFC,39,0,39,0,3.0,-1,c,o,r,0.26745760000085284,True,False,stimulusMax2_2IFC_2020_Feb_17_1259_79,stimulusMax2_2IFC_2020_Feb_17_1259_80,False,9,Max2,2020_Feb_17_1259,2IFC,
