Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,first_answer,second_answer,stimulus_pos,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFCnew,0,0,0,0,-1,0,null,11.0,-1,No Answer,2,2,-1,True,False,0,0,1,stimulustesti_2IFCnew_2020_Mar_25_1600_1,stimulustesti_2IFCnew_2020_Mar_25_1600_2,False,1,testi,2020_Mar_25_1600,2IFCnew,
2IFCnew,1,0,1,0,0.26794130000052974,1,No,11.0,-1,Hit,1,1,0.15023179998388514,True,False,1,2,1,stimulustesti_2IFCnew_2020_Mar_25_1600_3,stimulustesti_2IFCnew_2020_Mar_25_1600_4,False,1,testi,2020_Mar_25_1600,2IFCnew,
2IFCnew,2,0,2,0,0.28396960004465654,5,Yes,11.0,-1,False Alarm,1,0,0.3161149999941699,False,True,1,1,2,stimulustesti_2IFCnew_2020_Mar_25_1600_5,stimulustesti_2IFCnew_2020_Mar_25_1600_6,False,1,testi,2020_Mar_25_1600,2IFCnew,
2IFCnew,3,0,3,0,0.2007426000200212,8,No,11.0,-1,Correct Rejection,0,0,0.1336491000256501,False,True,2,2,2,stimulustesti_2IFCnew_2020_Mar_25_1600_7,stimulustesti_2IFCnew_2020_Mar_25_1600_8,False,1,testi,2020_Mar_25_1600,2IFCnew,
2IFCnew,4,0,4,0,0.20127170003252104,3,No,11.0,-1,False Alarm,1,0,0.11789360002148896,False,True,1,2,2,stimulustesti_2IFCnew_2020_Mar_25_1600_9,stimulustesti_2IFCnew_2020_Mar_25_1600_10,False,1,testi,2020_Mar_25_1600,2IFCnew,
