Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,time_response_second,response_2IFCnew,response_key2Interval_2IFCnew,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,first_answer,second_answer,stimulus_pos,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
2IFCnew,0,0,0,0,-1,4,null,4,-1,Miss,0.40027660003397614,True,False,2,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_2,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,1,0,1,0,-1,1,null,4,-1,Hit,0.44959480001125485,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_3,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_4,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,2,0,2,0,0.40162639995105565,5,Yes,4,-1,False Alarm,0.383271099999547,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_5,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_6,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,3,0,3,0,-1,3,null,4,-1,Correct Rejection,0.33732679998502135,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_7,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_8,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,4,0,4,0,-1,3,null,4,-1,Correct Rejection,0.41730690002441406,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_9,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_10,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,5,0,5,0,0.5008298000320792,5,Yes,4,-1,False Alarm,0.40114420000463724,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_11,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_12,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,6,0,6,0,-1,1,null,4,-1,Hit,0.4172897000098601,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_13,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_14,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,7,0,7,0,-1,1,null,4,-1,Hit,0.4321876000612974,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_15,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_16,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,8,0,8,0,0.484647799981758,7,Yes,4,-1,Hit,0.4506802000105381,True,False,1,1,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_17,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_18,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,9,0,9,0,0.767785600037314,4,Yes,4,-1,Miss,0.2838789999950677,True,False,2,1,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_19,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_20,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,10,0,10,0,0.400687100016512,5,Yes,4,-1,False Alarm,0.31783119996543974,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_21,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_22,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,11,0,11,0,-1,1,null,4,-1,Hit,0.7819928999524564,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_23,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_24,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,12,0,12,0,-1,3,null,4,-1,Correct Rejection,0.4843154998961836,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_25,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_26,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,13,0,13,0,-1,3,null,4,-1,Correct Rejection,0.550730700022541,False,True,2,0,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_27,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_28,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,14,0,14,0,0.49952910002321005,5,Yes,4,-1,False Alarm,0.4344061999581754,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_29,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_30,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,15,0,15,0,0.38382409990299493,5,Yes,4,-1,False Alarm,0.7991373999975622,False,True,1,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_31,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_32,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,16,0,16,0,-1,1,null,4,-1,Hit,0.41756830003578216,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_33,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_34,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,17,0,17,0,-1,1,null,4,-1,Hit,0.4510255999630317,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_35,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_36,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,18,0,18,0,0.6006444999948144,2,Yes,4,-1,Correct Rejection,0.7679791999980807,False,True,2,1,2,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_37,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_38,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,19,0,19,0,-1,1,null,4,-1,Hit,0.6342587000690401,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_39,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_40,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
2IFCnew,20,0,20,0,-1,1,null,4,-1,Hit,0.40095699997618794,True,False,1,0,1,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_41,stimulus2AFCnew_2IFCnew_2020_Mar_26_1930_42,False,3,2AFCnew,2020_Mar_26_1930,2IFCnew,
