Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,8.0,-1,Correct Rejection,0,0,0.5171516999835148,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_1,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,1,0,1,0,8.0,-1,Hit,1,1,0.40062319999560714,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_2,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,2,0,2,0,8.0,-1,False Alarm,1,0,0.3838783000828698,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_3,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,3,0,3,0,8.0,-1,Correct Rejection,0,0,0.38421699998434633,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_4,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,4,0,4,0,8.0,-1,Hit,1,1,0.4333617000374943,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_5,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,5,0,5,0,8.0,-1,Correct Rejection,0,0,0.46727530006319284,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_6,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,6,0,6,0,8.0,-1,Hit,1,1,0.5343707000138238,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_7,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,7,0,7,0,8.0,-1,Correct Rejection,0,0,0.4175700000487268,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_8,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,8,0,8,0,8.0,-1,Correct Rejection,0,0,0.6673188999993727,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_9,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,9,0,9,0,8.0,-1,Correct Rejection,0,0,0.4171373000135645,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_10,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,10,0,10,0,8.0,-1,Miss,0,1,0.43409569992218167,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_11,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,11,0,11,0,8.0,-1,Hit,1,1,0.4344636999303475,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_12,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,12,0,12,0,8.0,-1,Miss,0,1,0.550572199979797,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_13,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,13,0,13,0,8.0,-1,Hit,1,1,0.3340791999362409,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_14,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,14,0,14,0,8.0,-1,Correct Rejection,0,0,0.6006340999156237,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_15,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,15,0,15,0,8.0,-1,Hit,1,1,0.40071489999536425,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_16,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,16,0,16,0,8.0,-1,Correct Rejection,0,0,0.4513340999837965,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_17,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,17,0,17,0,8.0,-1,Hit,1,1,0.450906699988991,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_18,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,18,0,18,0,8.0,-1,Correct Rejection,0,0,0.46691760001704097,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_19,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,19,0,19,0,8.0,-1,Correct Rejection,0,0,0.4672980000032112,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_20,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,20,0,20,0,8.0,-1,Correct Rejection,0,0,0.40049130003899336,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_21,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,21,0,21,0,8.0,-1,Hit,1,1,0.41778139991220087,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_22,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,22,0,22,0,8.0,-1,Correct Rejection,0,0,0.48376139998435974,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_23,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,23,0,23,0,8.0,-1,Correct Rejection,0,0,0.4173624999821186,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_24,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,24,0,24,0,8.0,-1,Hit,1,1,0.6171777000417933,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_25,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,25,0,25,0,8.0,-1,Correct Rejection,0,0,0.53395620000083,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_26,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,26,0,26,0,8.0,-1,Hit,1,1,0.5844605999300256,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_27,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,27,0,27,0,8.0,-1,False Alarm,1,0,0.5338538000360131,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_28,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,28,0,28,0,8.0,-1,Correct Rejection,0,0,0.5838485999265686,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_29,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,29,0,29,0,8.0,-1,Correct Rejection,0,0,0.4343918999657035,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_30,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,30,0,30,0,8.0,-1,Correct Rejection,0,0,0.41707289998885244,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_31,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,31,0,31,0,8.0,-1,Correct Rejection,0,0,0.4843593999976292,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_32,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
Yes-No Task,32,0,32,0,8.0,-1,Correct Rejection,0,0,0.40122330002486706,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1300_33,-1,False,19,TestYesNo,2020_Mar_09_1300,Yes-No Task,
