Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,6.0,-1,Correct Rejection,0,0,0.35041839999030344,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_1,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,1,0,1,0,6.0,-1,Miss,0,1,0.33379600002081133,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_2,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,2,0,2,0,6.0,-1,Correct Rejection,0,0,0.36809280002489686,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_3,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,3,0,3,0,6.0,-1,Correct Rejection,0,0,0.4505596999952104,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_4,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,4,0,4,0,6.0,-1,Hit,1,1,0.384870600013528,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_5,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,5,0,5,0,6.0,-1,Correct Rejection,0,0,0.36761300000944175,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_6,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,6,0,6,0,6.0,-1,Miss,0,1,0.28477339999517426,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_7,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,7,0,7,0,6.0,-1,Hit,1,1,0.16708199999993667,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_8,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,8,0,8,0,6.0,-1,Miss,0,1,0.31712880000122823,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_9,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
Yes-No Task,9,0,9,0,6.0,-1,Hit,1,1,0.3339999000017997,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1954_10,-1,False,3,TestYesNo,2020_Mar_05_1954,Yes-No Task,
