Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,4.0,-1,Miss,0,1,0.3670720000518486,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_1,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,1,0,1,0,4.0,-1,False Alarm,1,0,0.6676797000691295,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_2,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,2,0,2,0,4.0,-1,Correct Rejection,0,0,0.45067559997551143,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_3,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,3,0,3,0,4.0,-1,Correct Rejection,0,0,0.5508986000204459,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_4,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,4,0,4,0,4.0,-1,Miss,0,1,0.5171592000406235,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_5,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,5,0,5,0,4.0,-1,Hit,1,1,0.4171878999331966,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_6,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,6,0,6,0,4.0,-1,Correct Rejection,0,0,0.5008046999573708,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_7,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,7,0,7,0,4.0,-1,Correct Rejection,0,0,0.6008681000676006,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_8,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,8,0,8,0,4.0,-1,Correct Rejection,0,0,0.36717760004103184,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_9,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,9,0,9,0,4.0,-1,Correct Rejection,0,0,0.3496181999798864,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_10,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,10,0,10,0,4.0,-1,Correct Rejection,0,0,0.7339618001133204,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_11,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,11,0,11,0,4.0,-1,Correct Rejection,0,0,0.6339512000558898,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_12,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,12,0,12,0,4.0,-1,Correct Rejection,0,0,0.4835572000592947,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_13,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,13,0,13,0,4.0,-1,Miss,0,1,0.5006598000181839,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_14,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
Yes-No Task,14,0,14,0,4.0,-1,False Alarm,1,0,0.4009745999937877,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1302_15,-1,False,20,TestYesNo,2020_Mar_09_1302,Yes-No Task,
