Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,29,0,29,0,12.0,-1,Hit,1,1,0.3005831000045873,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_30,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,30,0,30,0,12.0,-1,False Alarm,1,0,0.2672704999858979,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_31,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,31,0,31,0,12.0,-1,False Alarm,1,0,0.1840846999839414,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_32,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,32,0,32,0,12.0,-1,Correct Rejection,0,0,0.11696539999684319,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_33,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,33,0,33,0,12.0,-1,Hit,1,1,0.3832754000031855,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_34,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,34,0,34,0,12.0,-1,Hit,1,1,0.7173445000080392,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_35,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,35,0,35,0,12.0,-1,Correct Rejection,0,0,0.4006909000163432,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_36,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,36,0,36,0,12.0,-1,Correct Rejection,0,0,0.4171768000232987,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_37,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,37,0,37,0,12.0,-1,Correct Rejection,0,0,0.38432800001464784,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_38,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,38,0,38,0,12.0,-1,Correct Rejection,0,0,0.36711790002300404,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_39,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
Yes-No Task,39,0,39,0,12.0,-1,Hit,1,1,0.3674421999894548,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2012_40,-1,False,12,TestYesNo,2020_Mar_05_2012,Yes-No Task,
