Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,11.0,-1,Miss,0,1,0.38420870003756136,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_1,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,1,0,1,0,11.0,-1,Hit,1,1,0.3678670999361202,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_2,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,2,0,2,0,11.0,-1,Hit,1,1,0.400495299953036,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_3,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,3,0,3,0,11.0,-1,Correct Rejection,0,0,0.43421640002634376,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_4,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,4,0,4,0,11.0,-1,Correct Rejection,0,0,0.3338725999929011,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_5,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,5,0,5,0,11.0,-1,Hit,1,1,0.40073600003961474,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_6,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,6,0,6,0,11.0,-1,Hit,1,1,0.35047870001289994,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_7,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,7,0,7,0,11.0,-1,Hit,1,1,0.3670897000702098,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_8,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,8,0,8,0,11.0,-1,Correct Rejection,0,0,0.3500889000715688,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_9,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,9,0,9,0,11.0,-1,Hit,1,1,0.3673312000464648,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_10,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,10,0,10,0,11.0,-1,False Alarm,1,0,0.41784339991863817,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_11,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,11,0,11,0,11.0,-1,Correct Rejection,0,0,0.6342289000749588,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_12,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
Yes-No Task,12,0,12,0,11.0,-1,Hit,1,1,0.36731160001363605,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_09_1306_13,-1,False,22,TestYesNo,2020_Mar_09_1306,Yes-No Task,
