Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,7.0,-1,Correct Rejection,0,0,0.3835875000222586,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_1,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,1,0,1,0,7.0,-1,Miss,0,1,0.4340789000270888,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_2,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,2,0,2,0,7.0,-1,Hit,1,1,0.3171938000014052,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_3,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,3,0,3,0,7.0,-1,Correct Rejection,0,0,0.45055199999478646,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_4,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,4,0,4,0,7.0,-1,Correct Rejection,0,0,0.33414510000147857,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_5,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,5,0,5,0,7.0,-1,Correct Rejection,0,0,0.43400380000821315,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_6,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,6,0,6,0,7.0,-1,False Alarm,1,0,0.417456899973331,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_7,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,7,0,7,0,7.0,-1,Correct Rejection,0,0,0.6344308000116143,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_8,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,8,0,8,0,7.0,-1,Correct Rejection,0,0,0.33412300000782125,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_9,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,9,0,9,0,7.0,-1,Hit,1,1,0.36751700000604615,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_10,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,10,0,10,0,7.0,-1,Hit,1,1,0.3838312999869231,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_11,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,11,0,11,0,7.0,-1,Correct Rejection,0,0,0.33381029998417944,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_12,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,12,0,12,0,7.0,-1,Correct Rejection,0,0,0.35044330000528134,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_13,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,13,0,13,0,7.0,-1,Hit,1,1,0.4837975999980699,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_14,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,14,0,14,0,7.0,-1,False Alarm,1,0,0.4508324000053108,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_15,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,15,0,15,0,7.0,-1,Correct Rejection,0,0,0.10030439999536611,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_16,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,16,0,16,0,7.0,-1,Correct Rejection,0,0,0.2507884999795351,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_17,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,17,0,17,0,7.0,-1,Miss,0,1,0.2504688999906648,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_18,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,18,0,18,0,7.0,-1,False Alarm,1,0,0.01721200000611134,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_19,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,19,0,19,0,7.0,-1,Correct Rejection,0,0,0.46706940000876784,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_20,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,20,0,20,0,7.0,-1,Correct Rejection,0,0,0.4838713000062853,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_21,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,21,0,21,0,7.0,-1,Miss,0,1,0.35047509998548776,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_22,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,22,0,22,0,7.0,-1,False Alarm,1,0,0.18356810000841506,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_23,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,23,0,23,0,7.0,-1,Correct Rejection,0,0,0.25035119999665767,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_24,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,24,0,24,0,7.0,-1,Miss,0,1,0.20042239999747835,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_25,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,25,0,25,0,7.0,-1,Hit,1,1,0.35062729998026043,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_26,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,26,0,26,0,7.0,-1,Correct Rejection,0,0,0.46718149998923764,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_27,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,27,0,27,0,7.0,-1,Hit,1,1,0.5172654000052717,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_28,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,28,0,28,0,7.0,-1,Correct Rejection,0,0,0.4004650999850128,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_29,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,29,0,29,0,7.0,-1,Correct Rejection,0,0,0.4003571999783162,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_30,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,30,0,30,0,7.0,-1,Hit,1,1,0.4006202000018675,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_31,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,31,0,31,0,7.0,-1,Correct Rejection,0,0,0.4006595999817364,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_32,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,32,0,32,0,7.0,-1,Hit,1,1,0.3671848000085447,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_33,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,33,0,33,0,7.0,-1,Correct Rejection,0,0,0.45095169998239726,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_34,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,34,0,34,0,7.0,-1,Miss,0,1,0.3503701000008732,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_35,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,35,0,35,0,7.0,-1,Hit,1,1,0.2672270000039134,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_36,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,36,0,36,0,7.0,-1,Hit,1,1,0.33382490000803955,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_37,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,37,0,37,0,7.0,-1,Correct Rejection,0,0,0.3346414999978151,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_38,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,38,0,38,0,7.0,-1,Correct Rejection,0,0,0.33373859999119304,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_39,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
Yes-No Task,39,0,39,0,7.0,-1,Hit,1,1,0.3664502000028733,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_2009_40,-1,False,10,TestYesNo,2020_Mar_05_2009,Yes-No Task,
