Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,13.0,-1,Correct Rejection,0,0,0.31727900000987574,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_1,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,1,0,1,0,13.0,-1,Miss,0,1,0.28390129999024794,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_2,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,2,0,2,0,13.0,-1,False Alarm,1,0,0.5506357999984175,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_3,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,3,0,3,0,13.0,-1,False Alarm,1,0,0.38423719999263994,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_4,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,4,0,4,0,13.0,-1,Hit,1,1,0.4000011000025552,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_5,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,5,0,5,0,13.0,-1,Correct Rejection,0,0,0.30054999998537824,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_6,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,6,0,6,0,13.0,-1,Correct Rejection,0,0,0.5170934000052512,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_7,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,7,0,7,0,13.0,-1,Correct Rejection,0,0,0.4339728000049945,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_8,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,8,0,8,0,13.0,-1,Correct Rejection,0,0,0.3173010000027716,False,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_9,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,9,0,9,0,13.0,-1,Hit,1,1,0.3665744000172708,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_10,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
Yes-No Task,10,0,10,0,13.0,-1,Hit,1,1,0.584101099986583,True,-1,stimulus_TestYesNo_Yes-No Task_2020_Mar_05_1940_11,-1,False,2,TestYesNo,2020_Mar_05_1940,Yes-No Task,
