Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,15.0,-1,Miss,0,1,0.4999106000004758,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_1,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,1,0,1,0,15.0,-1,False Alarm,1,0,0.4047867999997834,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_2,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,2,0,2,0,15.0,-1,Hit,1,1,0.3360475999998016,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_3,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,3,0,3,0,15.0,-1,Hit,1,1,0.43612779999966733,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_4,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,4,0,4,0,15.0,-1,Correct Rejection,0,0,0.4336794999999256,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_5,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,5,0,5,0,15.0,-1,Hit,1,1,0.4855219000000943,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_6,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,6,0,6,0,15.0,-1,Miss,0,1,0.3677916999995432,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_7,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,7,0,7,0,15.0,-1,False Alarm,1,0,0.332482799999525,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_8,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,8,0,8,0,15.0,-1,Hit,1,1,0.16659710000021732,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_9,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,9,0,9,0,15.0,-1,Correct Rejection,0,0,0.5337837000006402,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_10,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,10,0,10,0,15.0,-1,Correct Rejection,0,0,0.4016830000000482,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_11,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,11,0,11,0,15.0,-1,Hit,1,1,0.4008239999993748,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_12,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,12,0,12,0,15.0,-1,Hit,1,1,0.2851754000002984,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_13,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,13,0,13,0,15.0,-1,Correct Rejection,0,0,0.48544529999981023,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_14,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,14,0,14,0,15.0,-1,Correct Rejection,0,0,0.4199249000002965,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_15,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,15,0,15,0,15.0,-1,Hit,1,1,0.3904880999998568,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_16,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
Yes-No Task,16,0,16,0,15.0,-1,Correct Rejection,0,0,0.4499614999995174,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1215_17,-1,False,17,MaxB,2020_Feb_17_1215,Yes-No Task,
