Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,Subject_Action,Stimulus_Present,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,0,0,0,0,3.0,-1,Correct Rejection,0,0,0.3847535999993852,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_1,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,1,0,1,0,3.0,-1,Correct Rejection,0,0,0.4830213000004733,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_2,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,2,0,2,0,3.0,-1,Hit,1,1,0.3698848000003636,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_3,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,3,0,3,0,3.0,-1,Hit,1,1,0.4696122999994259,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_4,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,4,0,4,0,3.0,-1,Hit,1,1,0.4205622999998013,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_5,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,5,0,5,0,3.0,-1,Miss,0,1,0.40162640000016836,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_6,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,6,0,6,0,3.0,-1,Hit,1,1,0.33449149999978545,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_7,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,7,0,7,0,3.0,-1,Correct Rejection,0,0,0.4186999999992622,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_8,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,8,0,8,0,3.0,-1,Correct Rejection,0,0,0.535423900000751,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_9,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,9,0,9,0,3.0,-1,Correct Rejection,0,0,0.35016470000027766,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_10,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,10,0,10,0,3.0,-1,False Alarm,1,0,0.4370736000000761,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_11,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,11,0,11,0,3.0,-1,Hit,1,1,0.4015439000004335,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_12,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,12,0,12,0,3.0,-1,Hit,1,1,0.4843924999995579,True,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_13,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
Yes-No Task,13,0,13,0,3.0,-1,Correct Rejection,0,0,0.5175161999995908,False,-1,stimulus_MaxB_Yes-No Task_2020_Feb_17_1138_14,-1,False,4,MaxB,2020_Feb_17_1138,Yes-No Task,
